type,actor,n
Movie,Amanda Céline Miller,12
Movie,Amanda Detmer,7
Movie,Amanda Foreman,1
Movie,Amanda Holt,1
Movie,Amanda Lawrence,7
Movie,Amanda Nara,3
Movie,Amanda Palmer,2
Movie,Amanda Peet,5
Movie,Amanda Plummer,3
Movie,Amanda Righetti,1
Movie,Amanda Root,6
Movie,Amanda Schull,3
Movie,Amanda Seyfried,21
Movie,Amanda Wyss,1
Movie,Amara La Negra,1
Movie,Amaraja Patil,6
Movie,Amari Avery,3
Movie,Amarjeet Amle,3
Movie,Amarr M. Wooten,2
Movie,Amaury Nolasco,10
Movie,Ambarish Deshpande,2
Movie,Amber Armstrong,2
Movie,Amber Barretto,2
Movie,Amber Beattie,6
Movie,Amber Heard,27
Movie,Amber Kuo,4
Movie,Amber Midthunder,5
Movie,Amber Rose,3
Movie,Amber Rose Revah,2
Movie,Amber Tamblyn,20
Movie,Amber Valletta,6
Movie,Ambika Mohan,3
Movie,Ambujakshi,2
Movie,Ambyr Childers,2
Movie,Ameesha Patel,12
Movie,Amelia Haberman,3
Movie,Amelia Sheeler,4
Movie,Amelia Warner,2
Movie,Amelie Fonlupt,3
Movie,Amer Chadha-Patel,3
Movie,America Ferrara,1
Movie,America Ferrera,8
Movie,America Young,11
Movie,Amerul Affendi,7
Movie,Amey Wagh,6
Movie,Ameya Hunaswadkar,2
Movie,Amin Bensalem,3
Movie,Amin El Gamal,2
Movie,Amin Hajee,9
Movie,Amin Joseph,7
Movie,Amina Kane,9
Movie,Amina Khalil,3
Movie,Amir Bashir,3
Movie,Amir Raza Hussain,3
Movie,Amir Tessler,4
Movie,Amira Casar,4
Movie,Amirah Vann,1
Movie,Amit Kumar Tiwari,3
Movie,Amit Sadh,6
Movie,Amit Shah,6
Movie,Amit Sial,18
Movie,Amit Varma,3
Movie,Amita Khopkar,3
Movie,Amita Pathak,3
Movie,Amitabh Bachchan,76
Movie,Amitabha Bhattacharjee,2
Movie,Amith Chakalakkal,3
Movie,Amitosh Nagpal,6
Movie,Amjad Khan,9
Movie,Aml Ameen,3
Movie,Amma,3
Movie,Ammar Alfian,3
Movie,Ammo 'Too Sweet',3
Movie,Ammy Virk,6
Movie,Amna Ilyas,6
Movie,Amol Deshmukh,6
Movie,Amol Mhatre,3
Movie,Amol Palekar,6
Movie,Amole Gupte,3
Movie,Amornrit Sriphung,2
Movie,Amos Tamam,4
